Titulo da reportagem,Veículo de imprensa,data,resumo,Instituição que efetuou a apreensao,localidade onde foi encontrado o plantio,município,Estado,Quantidade de pés encontrados,quantidade prensada (embalada),Sementes,Pessoas presas por sexo,armas apreendidas,plantio estava em área pública ou particular,Link de acesso,Observações,codigo_ibge,municipio_ibge,estado_ibge
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará,A Província do Pará,8/16/2025," Polícia Federal realizou uma operação entre os dias 12 e 15 de agosto e erradicou aproximadamente 120 mil pés de maconha em áreas de floresta de difícil acesso no nordeste do Pará. A ação destruiu 15 plantações nos municípios de Garrafão do Norte, Cachoeira do Piriá, Capitão Poço, Concórdia do Pará e Nova Esperança do Piriá, próximos à Terra Indígena Alto Rio Guamá (TIARG).",PF e CAOP,Rural,"Garrafão do Norte, Cachoeira do Piriá, Capitão Poço, Concórdia do Pará, Nova Esperança do Piriá, próximos à Terra Indígena Alto Rio Guamá",Pará,cerca de 120 mil,X,X,X,X,Em análise (possível utilização de áreas da União),https://aprovinciadopara.com.br/pf-erradica-cerca-de-120-mil-pes-de-maconha-em-areas-de-dificil-acesso-no-nordeste-do-para/,,1502756.0,Concórdia do Pará,Pará
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará,A Província do Pará,8/16/2025," Polícia Federal realizou uma operação entre os dias 12 e 15 de agosto e erradicou aproximadamente 120 mil pés de maconha em áreas de floresta de difícil acesso no nordeste do Pará. A ação destruiu 15 plantações nos municípios de Garrafão do Norte, Cachoeira do Piriá, Capitão Poço, Concórdia do Pará e Nova Esperança do Piriá, próximos à Terra Indígena Alto Rio Guamá (TIARG).",PF e CAOP,Rural,"Garrafão do Norte, Cachoeira do Piriá, Capitão Poço, Concórdia do Pará, Nova Esperança do Piriá, próximos à Terra Indígena Alto Rio Guamá",Pará,cerca de 120 mil,X,X,X,X,Em análise (possível utilização de áreas da União),https://aprovinciadopara.com.br/pf-erradica-cerca-de-120-mil-pes-de-maconha-em-areas-de-dificil-acesso-no-nordeste-do-para/,,1504950.0,Nova Esperança do Piriá,Pará
PF erradica cerca de 120 mil pés de maconha em áreas de difícil acesso no nordeste do Pará,A Província do Pará,8/16/2025," Polícia Federal realizou uma operação entre os dias 12 e 15 de agosto e erradicou aproximadamente 120 mil pés de maconha em áreas de floresta de difícil acesso no nordeste do Pará. A ação destruiu 15 plantações nos municípios de Garrafão do Norte, Cachoeira do Piriá, Capitão Poço, Concórdia do Pará e Nova Esperança do Piriá, próximos à Terra Indígena Alto Rio Guamá (TIARG).",PF e CAOP,Rural,"Garrafão do Norte, Cachoeira do Piriá, Capitão Poço, Concórdia do Pará, Nova Esperança do Piriá, próximos à Terra Indígena Alto Rio Guamá",Pará,cerca de 120 mil,X,X,X,X,Em análise (possível utilização de áreas da União),https://aprovinciadopara.com.br/pf-erradica-cerca-de-120-mil-pes-de-maconha-em-areas-de-dificil-acesso-no-nordeste-do-para/,,,,
Plantação de maconha com sistema de energia solar é destruída pela polícia na Bahia,G1 - site de notícias,8/19/2025,"Uma plantação de maconha com sistema de energia solar foi destruída em uma operação da Polícia Federal em Brotas de Macaúbas, no interior da Bahia, nesta terça-feira (19). Ninguém foi preso.","PF, FICCO Bahia e PMBA",Rural,Brotas de Macaúbas,Bahia,Sem informações ,X,X,X,X,Particular (roça),https://g1.globo.com/ba/bahia/noticia/2025/08/19/plantacao-de-maconha-com-sistema-de-energia-solar-e-destruida-na-bahia.ghtml,,2904506.0,Brotas de Macaúbas,Bahia
Fazenda de Maconha com grande estrutura é descoberta pela polícia em Brotas de Macaúbas,Destaque Bahia - site de notícias,8/20/2025,"Em ação conjunta a CIPE/Chapada, CIPE/Caatinga, 28ª CIPM/Ibotirama e Polícia Federal, através de coordenação da FICCO/Bahia, foi localizado no povoado de Queimadas, Município de Brotas de Macaúbas, na última terça-feira (19), amplo plantio de Cannabis Sativa (maconha), bem como grande quantidade da droga pronta para consumo.","CIPE/Chapada, CIPE/Caatinga, 28ª CIPM/Ibotirama, PF e FICCO/Bahia",Rural,Brotas de Macaúbas,Bahia,Cerca de 25.280,300kg ,X,X,X,Sem informações,https://www.destaquebahia.com.br/noticias/25770-2025/08/20/fazenda-de-maconha-com-grande-estrutura-e-descoberta-pela-policia-em-brotas-de-macaubas,,2904506.0,Brotas de Macaúbas,Bahia
PM destrói plantio com 1.250 pés de maconha na zona rural de Curaçá (BA),Edenevaldo Alves - site de notícias,8/22/2025,"A Polícia Militar da Bahia (PMBA), por meio da 45ª Companhia Independente de Polícia Militar (CIPM), erradicou um plantio de Cannabis sativa (maconha) durante a Operação Força Total, em uma ilhota nas proximidades do povoado de Cajueiro, zona rural do município de Curaçá.",PMBA da 45º CIPM,Rural,Curaçá,Bahia,Cerca de 1.250,X,X,X,X,Sem informações (ilhota nas proximidades do povoado de Cajueiro),https://edenevaldoalves.com.br/pm-destroi-plantio-com-1-250-pes-de-maconha-na-zona-rural-de-curaca-ba/,,2909901.0,Curaçá,Bahia
PF destrói 8 mil pés de maconha em operação no interior do Amazonas,G1 - site de notícias,8/29/2025,"A Polícia Federal concluiu, nesta sexta-feira (29), a Operação Alvorada Verde, que investiga plantações ilegais de maconha e o tráfico de drogas em regiões isoladas do interior do Amazonas.",PF (Operação Alvorada Verde),Rural,"Nova Olinda do Norte, Maués",Amazonas,Cerca de 8 mil,X,X,X,X,Pública (áreas do rio Abacaxis e do rio Curuçá) - possível utilização de áreas da União),https://g1.globo.com/am/amazonas/noticia/2025/08/29/pf-destroi-8-mil-pes-de-maconha-em-operacao-no-interior-do-amazonas.ghtml,,1303106.0,Nova Olinda do Norte,Amazonas
PF destrói 8 mil pés de maconha em operação no interior do Amazonas,G1 - site de notícias,8/29/2025,"A Polícia Federal concluiu, nesta sexta-feira (29), a Operação Alvorada Verde, que investiga plantações ilegais de maconha e o tráfico de drogas em regiões isoladas do interior do Amazonas.",PF (Operação Alvorada Verde),Rural,"Nova Olinda do Norte, Maués",Amazonas,Cerca de 8 mil,X,X,X,X,Pública (áreas do rio Abacaxis e do rio Curuçá) - possível utilização de áreas da União),https://g1.globo.com/am/amazonas/noticia/2025/08/29/pf-destroi-8-mil-pes-de-maconha-em-operacao-no-interior-do-amazonas.ghtml,,1302900.0,Maués,Amazonas
"PM incinera 31 mil pés de maconha em Floresta, no Sertão de Pernambuco",Leia Já - site de notícias,9/7/2025,"A Polícia Militar de Pernambuco incinerou, nesse sábado (6), um 31 mil pés de maconha em Floresta, no Sertão de Pernambuco. O plantio estava foi encontrado na zona rural da cidade, após uma denúncia durante um patrulhamento de agentes da 1ª Companhia Independente de Polícia Militar (1ª CIPM) na região.",PMPE,Rural,Floresta,Pernambuco,31 mil,70kg,6.200 covas prontas para o cultivo,Sem informações,X,Sem informações,https://www.leiaja.com/noticias/2025/09/07/pm-incinera-31-mil-pes-de-maconha-em-floresta-no-sertao-de-pernambuco/,,2605707.0,Floresta,Pernambuco
Plantação de maconha é descoberta em área de preservação ambiental em MT,G1 - site de notícias,9/12/2025,"Dois homens foram presos por um esquema de cultivo ilegal de maconha em uma área de preservação ambiental no assentamento Antônio Conselheiro, em Tangará da Serra, a 242 km de Cuiabá.",Polícia (sem outras informações),Rural,Tangará da Serra,Mato Grosso,Sem informações,X,X,2 homens,1,Pública (área de preservação ambiental),https://g1.globo.com/google/amp/mt/mato-grosso/noticia/2025/09/12/plantacao-de-maconha-e-descoberta-em-area-de-preservacao-ambiental-em-mt.ghtml,,5107958.0,Tangará da Serra,Mato Grosso
Polícia erradica 6 mil pés de maconha e apreende mais de 5 kg da droga em Betânia,Jornal Desafio - site de notícias,9/20/2025,"Nesta sexta-feira (19), policiais do 14º BPM, em operação conjunta com a ASI e a Polícia Federal, no âmbito da Operação Carcará – Fase 9, erradicaram uma plantação de 6.000 pés de maconha na Fazenda Angico, zona rural de Betânia-PE","PM da 14º BPM, ASI e PF (Operação Carcará)",Rural,Betânia,Pernambuco,6 mil,5.560kg,X,X,X,Particular (Fazenda Angico),https://jornaldesafio.com.br/policia-erradica-6-mil-pes-de-maconha-e-apreende-mais-de-5-kg-da-droga-em-betania/,,2601805.0,Betânia,Pernambuco
PF combate tráfico e destrói 29 mil pés de maconha em áreas indígenas,A Tarde - site de notícias,10/4/2025,"A ação, que teve início no dia 29 de setembro, contou com o apoio do Centro Tático Aéreo (CTA) e do Corpo de Bombeiros Militar do Maranhão. Durante a operação, foram destruídos aproximadamente 29 mil pés de maconha e incineradas cerca de 10 toneladas da droga.","PF (Operação Carcará VIII, Corpo de Bombeiros Militar do Maranhão e CTA)",Rural,Grajaú,Maranhão,Cerca de 29 mil,10 e 7kg toneladas da droga,X,5 (não há informações de sexo),2,"Pública (terras indígenas Bacurizinho, Cana Brava e Porquinhos)",https://atarde.com.br/policia/pf-combate-trafico-e-destroi-29-mil-pes-de-maconha-em-areas-indigenas-1363333,,2104800.0,Grajaú,Maranhão
Plantação de maconha com mais de 100 mil pés é encontrada no Cariri da PB,G1 - site de notícias,10/6/2025,"Uma plantação de maconha com mais de 100 mil pés foi encontrada pela Polícia Militar em Camalaú, no Cariri da Paraíba.",PM,Rural,Camalaú,Paraíba,Cerca de 100 mil,X,X,X,X,"Sem irformações (área de 1,5 hectare de terra)",https://g1.globo.com/pb/paraiba/noticia/2025/10/06/plantacao-de-maconha-com-mais-de-100-mil-pes-e-encontrada-no-cariri-da-pb.ghtml,,2503902.0,Camalaú,Paraíba
Plantação de maconha com mais de 100 mil pés é encontrada no Cariri da PB,G1 - site de notícias,10/6/2025,"No dia 30, outra plantação com milhares de pés de maconha havia sido encontrada em Camalaú. Na ocasião, cinco pessoas foram presas. A Polícia Militar ainda não identificou ligação entre os dois casos.","PM, PC, PF e Polícia Penal (FICCO)",Rural,Camalaú,Paraíba,"""milhares""",X,X,5 (não há informações de sexo),X,Sem informações,https://g1.globo.com/pb/paraiba/noticia/2025/10/06/plantacao-de-maconha-com-mais-de-100-mil-pes-e-encontrada-no-cariri-da-pb.ghtml,,2503902.0,Camalaú,Paraíba
Mais de 3 mil pés de maconha são destruídos pela PM em Belém do São Francisco,Pernambuco Notícias - Site de notícias,10/8/2025,"Policiais militares da 1ª Companhia Independente da Polícia Militar (CIPM) localizaram e incineraram, na terça-feira (7), uma extensa plantação de maconha na ilha do Cachaui de Baixo, área rural de Belém do São Francisco, no Sertão de Pernambuco.",PM (CIPM),Rural,Belém do São Francisco,Pernambuco,3.015,X,X,X,X,Sem informações (três áreas de cultivo da droga),https://pernambuconoticias.com.br/mais-de-3-mil-pes-de-maconha-sao-destruidos-pela-pm-em-belem-do-sao-francisco/,,2601607.0,Belém do São Francisco,Pernambuco
Quase 200 mil pés de maconha são encontrados em plantação de três hectares na Bahia,G1 - site de notícias,10/12/2025,"Quase uma tonelada de maconha foi aprendida na tarde de domingo (7), em Simões Filho, cidade localizada na Região Metropolitana de Salvador.",PM (BPT-C),Urbana,Simões Filho,Bahia,X,300 tabletes de maconha,X,X ,X,Particular (1 casa),https://g1.globo.com/ba/bahia/noticia/2025/12/10/pes-de-maconha-sao-encontrados-em-plantacao-na-bahia.ghtml,"A PM informou que no local, homens suspeitos, ao perceberem aproximação, fugiram, deixando para trás mais de 300 tabletes de maconha e um caderno de anotações",2930709.0,Simões Filho,Bahia
Mais de 3 mil pés de maconha são queimados em área rural; confira,BNews - site de notícias,10/27/2025,"Um total de 3213 pés de maconha foram queimados pela 51ª Companhia Independente da Polícia Militar, em uma área rural utilizada para cultivar entorpecentes, em Conde, no litoral norte da Bahia","51ª Companhia Independente da Polícia Militar, PETO",Rural,Conde,Bahia,3.213,X,X,X,X,Sem informações (área rural),https://www.bnews.com.br/noticias/policia/mais-de-3-mil-pes-de-maconha-sao-queimados-em-area-rural-confira.html,,2908606.0,Conde,Bahia
Plantação de maconha é descoberta no Distrito de Maniçoba,CarlosBritto - site de notícias,11/4/2025,"Polícia Militar localizou cinco áreas de plantio de maconha no distrito de Maniçoba, Zona Rural de Juazeiro (BA). Durante a ação, os PMs encontraram também um grande volume de material seco pronto para o consumo, que foi incinerado no local, junto a objetos utilizados no cultivo. Aproximadamente 5 kg foram recolhidos para perícia e encaminhados à Delegacia de Polícia em Juazeiro, que seguirá com as investigações.",PM,Rural,Juazeiro,Bahia,Sem informações ,"Sem informações (""grande quantidade incinerada"" e cerca de 5kg recolhidos para perícia ",X,X,X,Sem informações (5 áreas de cultivo),https://www.carlosbritto.com/area-de-plantacao-de-maconha-e-descoberta-em-manicoba-zona-rural-de-juazeiro/,,2918407.0,Juazeiro,Bahia
PM erradica plantação com mais de 5 mil pés de maconha em Curaçá (BA),Edenevaldo Alves - site de notícias,11/4/2025,"Na segunda-feira (03), durante a intensificação do policiamento nas áreas ribeirinhas, policiais da 45ª CIPM localizaram uma plantação de maconha contendo aproximadamente 5.210 pés da erva, além de uma sementeira. O plantio estava em uma ilha próxima à localidade de Missão Velha, em Curaçá (BA).",PM (45º DIPM),Rural,Curaçá,Bahia,Cerca de 5.210,X,1 sementeira,X,X,X,https://edenevaldoalves.com.br/pm-erradica-plantacao-com-mais-de-5-mil-pes-de-maconha-em-curaca-ba/,,2909901.0,Curaçá,Bahia
Polícia Militar erradica mais de 20 mil pés de maconha,Rádio Sociedade -Site de notícias,11/10/2025,"Policiais da 45ª Companhia Independente da Polícia Militar (CIPM) erradicaram cerca de 23 mil pés de maconha na localidade conhecida como Missão Velho, na zona rural do município de Curaçá, no norte da Bahia",PM (45º DIPM),Rural,Curaçá,Bahia,Cerca de 23 mil,X,X,X,X,Pública (2 ilhas da região),https://sociedadeonline.com/policia-militar-erradica-mais-de-20mil-pes-de-maconha/,,2909901.0,Curaçá,Bahia
Operação encontra 'fábrica de maconha' no Pará e prende nove pessoas em flagrante,G1 - site de notícias,11/26/2025,"Ao todo, nove pessoas foram presas em flagrante durante a operação 'Erva Daninha' deflagrada pela Polícia Civil (PC) nesta terça-feira (25) em Ulianópolis, no sudeste do Pará. Os agentes também apreenderam armas, munições e cerca de 262 kg de maconha.",PC (operação 'Erva Daninha'),Rural,Ulianópolis,Pará,Sem informações (área de plantação equivalente a 10 campos de futebol),Cerca de 262kg ,X,9 (não há informações de sexo),Sem informações (pistolas e espingardas artesanais),Sem informações (estufa climatizada e plantação de maconha e em uma área equivalente a 10 campos de futebol.,https://g1.globo.com/pa/para/noticia/2025/11/26/operacao-encontra-fabrica-de-maconha-no-para-e-prende-nove-pessoas-em-flagrante.ghtml,"os agentes encontraram uma vasta estrutura de cultivo, incluindo estufa climatizada, barracos de secagem, iluminação artificial e diversas áreas de plantio.",1508126.0,Ulianópolis,Pará
PM erradica cerca de 32 mil pés de maconha em Curaçá,Se Ligue! Bahia - site de notícias,11/29/2025,"A Polícia Militar da Bahia erradicou aproximadamente 32 mil pés de maconha na zona rural de Curaçá, no norte da Bahia. A ação ocorreu na tarde de sexta-feira (28) após denúncias que apontavam a existência de grandes áreas de plantio ilegal na região.",PM (45º DIPM),Rural,Curaçá,Bahia,Cerca de 32 mil,X,X,X,X,Particular (2 roças),https://seliguebahia.com.br/seguranca/pm-erradica-cerca-de-32-mil-pes-de-maconha-em-curaca/,,2909901.0,Curaçá,Bahia
Mais de 200 mil pés de maconha são erradicados pela PM em Barro Alto,ba.gov.br - site de notícias,11/29/2025,"Equipes da Cipe Semiárido localizaram uma roça de plantação de maconha, com mais de 200 mil pés da erva, na área rural do município de Barro Alto.",PMBA (CIPE Semiárido),Rural,Barro Alto,Bahia,Cerca de 200 mil,X,X,X,X,Particular (1 roça),https://www.ba.gov.br/ssp/noticias/2025-11/86940/mais-de-200-mil-pes-de-maconha-sao-erradicados-pela-pm-em-barro-alto,,2903235.0,Barro Alto,Bahia
Polícia Federal e 2ª CIPM erradicam mais de 4 mil pés de maconha na zona rural de Orocó,Blog Waldiney Passos - site de notícias,12/2/2025,"Equipes da 2ª CIPM, GT Operações/ROCAM, GATI, Malhas da Lei e ASI participaram da ofensiva, que teve como base informações de inteligência. As plantações estavam distribuídas em ilhotas do rio. No total, foram erradicadas 844 covas, somando 4.004 pés de maconha, além de uma sementeira e sementes armazenadas.",PF e 2° CIPM,Rural,Orocó,Pernambuco,4.004 (844 covas),X,Sem informações (1 sementeira e sementes armazenadas),X,X,Pública (ilhotas do rio São Francisco),https://waldineypassos.com.br/policia-federal-e-2a-cipm-erradicam-mais-de-4-mil-pes-de-maconha-na-zona-rural-de-oroco/,,2609808.0,Orocó,Pernambuco
